,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
183,4,4.0,"9 Darwin Lane Remuera, Auckland",2718.0,9000000,-36.871836,174.81368899999998,7005974,27,12,6,18,18,36,Remuera,114,1.0
184,4,4.0,"9 Darwin Lane Remuera, Auckland",2718.0,9000000,-36.871836,174.81368899999998,7005974,27,12,6,18,18,36,Remuera,114,1.0
185,4,2.0,"2/73 Speight Road St Heliers, Auckland",191.0,1825000,-36.8534844,174.84930269999998,7006399,48,24,21,30,27,36,St Heliers,186,3.0
186,2,2.0,"21 Skip Lane East Tamaki, Auckland",173.0,590000,-36.94338270000001,174.90154819999998,7008935,24,24,45,15,15,6,East Tamaki,132,6.0
187,3,1.0,"45 Richard Farrell Avenue Remuera, Auckland",1070.0,1875000,-36.886768200000006,174.8134448,7006010,48,15,27,27,12,30,Remuera,153,3.0
188,3,2.0,"279c Royal Road Massey, Auckland",586.0,830000,-36.8324006,174.63285390000001,7003938,84,36,36,42,27,30,Massey,255,9.0
189,4,2.0,"4 Yorkton Rise Mangere Bridge, Auckland",723.0,1460000,-36.9420311,174.76767230000002,7007837,27,9,9,21,15,30,Mangere Bridge,105,1.0
190,2,1.0,"8/42a Park Avenue Papatoetoe, Auckland",90.0,455000,-36.9763865,174.8391374,7008426,54,45,33,18,24,18,Papatoetoe,198,8.0
191,5,2.0,"1/54 Tirimoana Road Te Atatu South, Auckland",260.0,890000,-36.8843686,174.6504321,7004156,60,27,24,30,18,18,Te Atatu South,186,5.0
192,6,3.0,"38 Tirimoana Road Te Atatu South, Auckland",210.0,1000000,-36.8848921,174.64905149999998,7004156,60,27,24,30,18,18,Te Atatu South,186,5.0
193,3,2.0,"2/36 Tarawera Terrace St Heliers, Auckland",138.0,1220000,-36.861919,174.8521385,7006422,45,12,24,33,30,48,St Heliers,189,2.0
